rule,name,value
ruler_0_r,average,3.0059999999999993
ruler_1_lr,average,3.0049999999999994
ruler_1_lr-rev,average,3.0049999999999994
ruler_2_r,average,3.0049999999999994
ruler_3_lr,average,3.0049999999999994
ruler_3_lr-rev,average,3.0049999999999994
ruler_4_lr,average,3.0049999999999994
ruler_4_lr-rev,average,3.0049999999999994
ruler_5_r,average,2.0039999999999996
ruler_6_lr,average,2.5039999999999996
ruler_6_lr-rev,average,2.5039999999999996
ruler_7_lr,average,2.5039999999999996
ruler_7_lr-rev,average,2.5039999999999996
ruler_8_lr,average,2.5039999999999996
ruler_8_lr-rev,average,2.5039999999999996
ruler_9_lr,average,2.5039999999999996
ruler_9_lr-rev,average,2.5039999999999996
ruler_10_lr,average,2.5039999999999996
ruler_10_lr-rev,average,2.5039999999999996
ruler_11_lr,average,2.5039999999999996
ruler_11_lr-rev,average,2.5039999999999996
ruler_12_r,average,3.0039999999999996
ruler_13_r,average,3.0039999999999996
ruler_14_r,average,3.0039999999999996
ruler_15_lr,average,6.004
ruler_15_lr-rev,average,6.004
ruler_16_lr,average,6.004
ruler_16_lr-rev,average,6.004
ruler_17_r,average,6.004
ruler_18_r,average,6.004
ruler_19_lr,average,3.0039999999999996
ruler_19_lr-rev,average,3.0039999999999996
ruler_20_lr,average,3.0039999999999996
ruler_20_lr-rev,average,3.0039999999999996
ruler_21_lr,average,3.0039999999999996
ruler_21_lr-rev,average,3.0039999999999996
ruler_22_lr,average,3.0039999999999996
ruler_22_lr-rev,average,3.0039999999999996
ruler_23_lr,average,6.004
ruler_23_lr-rev,average,6.004
ruler_24_lr,average,6.004
ruler_24_lr-rev,average,6.004
ruler_25_r,average,6.004
ruler_26_r,average,1.0029999999999997
ruler_27_lr,average,1.5029999999999997
ruler_27_lr-rev,average,1.5029999999999997
ruler_28_r,average,2.0029999999999997
ruler_29_r,average,2.0029999999999997
ruler_30_r,average,2.0029999999999997
ruler_31_lr,average,2.0029999999999997
ruler_31_lr-rev,average,2.0029999999999997
ruler_32_r,average,2.0029999999999997
ruler_33_lr,average,2.0029999999999997
ruler_33_lr-rev,average,2.0029999999999997
ruler_34_lr,average,2.0029999999999997
ruler_34_lr-rev,average,2.0029999999999997
ruler_35_lr,average,2.0029999999999997
ruler_35_lr-rev,average,2.0029999999999997
ruler_36_lr,average,2.5029999999999997
