index,costfn,cost,nodes
0,greedy,138419.989,827
1,greedy,138419.989,7987
2,greedy,138419.989,619670
3,greedy,116206.59499999997,30872368
4,greedy,49550.745,592
5,greedy,49550.745,4251
6,greedy,49550.745,11290
7,greedy,40467.156,41145
8,greedy,15231.109000000002,567
9,greedy,15231.109000000002,3011
10,greedy,15231.109000000002,7985
11,greedy,9174.425000000003,20899
12,greedy,4127.136000000001,573
13,greedy,4127.136000000001,2900
14,greedy,4127.136000000001,8246
15,greedy,2108.7419999999993,18258
16,greedy,89.34800000000001,574
17,greedy,89.34800000000001,2858
18,greedy,89.34800000000001,8198
19,greedy,89.34800000000001,16020
20,greedy,89.34800000000001,16024
21,greedy,88.95200000000001,16024
22,greedy,88.95200000000001,191
0,normal,975.0889999999999,827
1,normal,975.0889999999999,7987
2,normal,975.0889999999999,619670
3,normal,874.2919999999999,30872368
4,normal,541.1149999999999,107786769
5,normal,490.745,178875000
6,normal,173.381,215333350
7,normal,69.99600000000001,226332303
8,normal,68.99600000000001,228304945
9,normal,68.99600000000001,228846559
10,normal,68.99600000000001,229049769
11,normal,68.99600000000001,229051225
12,normal,64.942,229051225
13,normal,64.942,164
