benchmark,params,costfn,egraph_cost
2d-conv,3x3_2x2,greedy,24.742
2d-conv,3x3_2x2,normal,512.516
2d-conv,3x3_3x3,normal,975.0889999999999
2d-conv,3x3_3x3,greedy,88.95200000000001
2d-conv,3x5_3x3,greedy,132.52800000000002
2d-conv,3x5_3x3,normal,1371.6109999999999
2d-conv,4x4_3x3,normal,1405.664
2d-conv,4x4_3x3,greedy,142.99
2d-conv,8x8_3x3,greedy,620.282
2d-conv,8x8_3x3,normal,4609.856
2d-conv,10x10_2x2,normal,4463.402999999999
2d-conv,10x10_2x2,greedy,275.7600000000001
2d-conv,10x10_3x3,greedy,1071.9920000000004
2d-conv,10x10_3x3,normal,6920.899999999996
2d-conv,10x10_4x4,greedy,1815.2599999999998
2d-conv,10x10_4x4,normal,10375.803000000004
2d-conv,16x16_2x2,greedy,741.5640000000004
2d-conv,16x16_2x2,normal,10831.346999999992
2d-conv,16x16_3x3,normal,0
2d-conv,16x16_3x3,greedy,2548.322
2d-conv,16x16_4x4,greedy,5825.577999999999
2d-conv,16x16_4x4,normal,0
