index,costfn,value
0,greedy,254608.064
1,greedy,254608.064
2,greedy,254608.064
3,greedy,222297.468
4,greedy,117260.73199999999
5,greedy,117260.73199999999
6,greedy,117260.73199999999
7,greedy,99089.24999999999
8,greedy,45584.632
9,greedy,45584.632
10,greedy,45584.632
11,greedy,34479.354
12,greedy,16302.368000000002
13,greedy,16302.368000000002
14,greedy,16302.368000000002
15,greedy,8224.376
16,greedy,143.58399999999997
17,greedy,143.58399999999997
18,greedy,143.58399999999997
19,greedy,143.58399999999997
20,greedy,143.58399999999997
21,greedy,142.99
22,greedy,142.99
0,normal,1405.664
1,normal,1405.664
2,normal,1405.664
3,normal,1405.664
4,normal,989.8939999999998
