index,pruning,cost,nodes
0,True,138419.989,827.0
1,True,138419.989,7987.0
2,True,138419.989,619670.0
3,True,116206.59499999997,30872368.0
4,True,49550.745,592.0
5,True,49550.745,4251.0
6,True,49550.745,11290.0
7,True,40467.156,41145.0
8,True,15231.109000000002,567.0
9,True,15231.109000000002,3011.0
10,True,15231.109000000002,7985.0
11,True,9174.425000000003,20899.0
12,True,4127.136000000001,573.0
13,True,4127.136000000001,2900.0
14,True,4127.136000000001,8246.0
15,True,2108.7419999999993,18258.0
16,True,89.34800000000001,574.0
17,True,89.34800000000001,2858.0
18,True,89.34800000000001,8198.0
19,True,89.34800000000001,16020.0
20,True,89.34800000000001,16024.0
21,True,88.95200000000001,16024.0
22,True,88.95200000000001,191.0
0,False,975.0889999999999,827.0
1,False,975.0889999999999,7987.0
2,False,975.0889999999999,619670.0
3,False,874.2919999999999,30872368.0
4,False,541.1149999999999,107786769.0
5,False,490.745,178875000.0
6,False,173.381,215333350.0
7,False,69.99600000000001,226332303.0
8,False,68.99600000000001,228304945.0
9,False,68.99600000000001,228846559.0
10,False,68.99600000000001,229049769.0
11,False,68.99600000000001,229051225.0
12,False,64.942,229051225.0
13,False,64.942,164.0
