index,date,benchmark,params,exp,timeout,compile_time,cycles,alpha,beta,cost,killed,memory_used
0,Aug31-1025,2d-conv,16x16_4x4,307,180,45.74124765396119,7033,-4045.0,5.0,3983.3539999999994,False,0.280723456
1,Aug31-1025,2d-conv,16x16_4x4,338,180,253.52784490585327,6557,4040.0,6.0,6194628.033,False,28.547928064
2,Aug31-1025,2d-conv,16x16_4x4,300,180,386.3692319393158,7528,1.0,4.0,7039362.119999995,False,53.61727488
3,Aug31-1025,2d-conv,16x16_4x4,336,180,228.63839650154114,2409,15.0,6.0,1361795.5469999982,False,67.789115392
4,Aug31-1025,2d-conv,16x16_4x4,309,180,70.8405213356018,7159,-4035.0,5.0,4021.3410000000003,False,0.152465408
5,Aug31-1025,2d-conv,16x16_4x4,331,180,10.590911626815796,5203,-0.5,6.0,6049156.171000001,False,0.421638144
6,Aug31-1025,2d-conv,16x16_4x4,391,180,5.007706165313721,7387,-10.0,30.0,6142096.345,False,0.1809408
7,Aug31-1025,2d-conv,16x16_4x4,365,180,411.4891757965088,2690,0.5,15.0,1362404.5469999984,False,11.239845888
8,Aug31-1025,2d-conv,16x16_4x4,362,180,10.030486345291136,5203,-1.0,15.0,6049156.171000001,False,0.282550272
9,Aug31-1025,2d-conv,16x16_4x4,396,180,248.35954904556277,2348,1.0,30.0,1361795.5469999982,False,31.712411648
10,Aug31-1025,2d-conv,16x16_4x4,354,180,258.41999864578247,6557,4040.0,10.0,6194628.033,False,28.37065728
11,Aug31-1025,2d-conv,16x16_4x4,398,180,248.32571482658386,2348,5.0,30.0,1361795.5469999982,False,31.71407872
12,Aug31-1025,2d-conv,16x16_4x4,353,180,228.40081286430362,2409,4035.0,10.0,1361795.5469999982,False,67.789135872
13,Aug31-1025,2d-conv,16x16_4x4,330,180,10.032240629196167,5203,-1.0,6.0,6049156.171000001,False,0.282435584
14,Aug31-1025,2d-conv,16x16_4x4,337,180,228.59609746932983,2409,4035.0,6.0,1361795.5469999982,False,67.81259776
15,Aug31-1025,2d-conv,16x16_4x4,308,180,45.15848350524902,7033,-4040.0,5.0,3983.3539999999994,False,0.11675648
16,Aug31-1025,2d-conv,16x16_4x4,301,180,665.2922794818878,7215,0.5,4.0,5856993.668000002,False,37.391613952
17,Aug31-1025,2d-conv,16x16_4x4,306,180,654.8614165782928,6898,4040.0,4.0,4019.7589999999987,False,24.652353536
18,Aug31-1025,2d-conv,16x16_4x4,339,180,238.49667763710022,6557,4045.0,6.0,6194628.033,False,28.845662208
19,Aug31-1025,2d-conv,16x16_4x4,399,180,247.61305832862854,2348,10.0,30.0,1361795.5469999982,False,31.715848192
20,Aug31-1025,2d-conv,16x16_4x4,352,180,237.867222070694,2409,15.0,10.0,1361795.5469999982,False,72.273661952
21,Aug31-1025,2d-conv,16x16_4x4,355,180,238.37280774116516,6557,4045.0,10.0,6194628.033,False,28.340994048
22,Aug31-1025,2d-conv,16x16_4x4,397,180,389.82487440109253,2736,0.5,30.0,1362404.5469999984,False,11.24497408
23,Aug31-1025,2d-conv,16x16_4x4,363,180,10.030551671981812,5203,-0.5,15.0,6049156.171000001,False,0.282648576
24,Aug31-1025,2d-conv,16x16_4x4,364,180,249.4051616191864,2252,1.0,15.0,1361795.5469999982,False,31.709945856
25,Aug31-1025,2d-conv,16x16_4x4,390,180,66.26786613464355,7159,-4035.0,30.0,4021.3410000000003,False,0.150495232
26,Aug31-1025,2d-conv,16x16_4x4,229,180,40.811436891555786,7033,-4040.0,0.0,3983.3539999999994,False,0.116375552
27,Aug31-1025,2d-conv,16x16_4x4,280,180,646.2969660758972,7216,-10.0,3.0,3986.623999999999,False,2.26297856
28,Aug31-1025,2d-conv,16x16_4x4,422,180,40.58889102935791,7165,-15.0,2025.0,4006.2959999999994,False,0.196624384
29,Aug31-1025,2d-conv,16x16_4x4,274,180,45.75223135948181,7212,4045.0,2.0,4203.848,False,0.314032128
30,Aug31-1025,2d-conv,16x16_4x4,273,180,46.002710819244385,7212,4040.0,2.0,4203.848,False,0.276283392
