benchmark,stock,compgen
2d-conv/3x3_2x2_4r,58,68
2d-conv/3x3_3x3_4r,135,
2d-conv/3x5_3x3_4r,155,
2d-conv/4x4_3x3_4r,179,
2d-conv/8x8_3x3_4r,450,
2d-conv/10x10_2x2_4r,284,
2d-conv/10x10_2x2_4r,284,
2d-conv/10x10_3x3_4r,713,
2d-conv/10x10_4x4_4r,1517,
2d-conv/16x16_2x2_4r,741,
2d-conv/16x16_3x3_4r,1938,
2d-conv/16x16_4x4_4r,8402,
mat-mul/2x2_2x2_4r,33,33
mat-mul/2x3_3x3_4r,40,40
mat-mul/3x3_3x3_4r,44,50
mat-mul/4x4_4x4_4r,48,
mat-mul/8x8_8x8_4r,207,
mat-mul/10x10_10x10_4r,724,
mat-mul/16x16_16x16_4r,14115,
q-prod/4r,63,
qr-decomp/3_4r,616,
qr-decomp/4_4r,586,
