
index,kernel,benchmark,params,cycles,total_time,eqsat_time,max_ram_used,saturated
0,dios,2d-conv,3x3_2x2,58,9.142474889755249,0.348,0.177651712,yes
1,naive,2d-conv,3x3_2x2,1483,9.142474889755249,0.348,0.177651712,yes
2,naive.clang,2d-conv,3x3_2x2,500,9.142474889755249,0.348,0.177651712,yes
3,naive.fixed,2d-conv,3x3_2x2,428,9.142474889755249,0.348,0.177651712,yes
4,nature,2d-conv,3x3_2x2,358,9.142474889755249,0.348,0.177651712,yes
5,dios,2d-conv,3x3_3x3,135,3.9607770442962646,2.682,0.16576512,yes
6,naive,2d-conv,3x3_3x3,3753,3.9607770442962646,2.682,0.16576512,yes
7,naive.clang,2d-conv,3x3_3x3,1304,3.9607770442962646,2.682,0.16576512,yes
8,naive.fixed,2d-conv,3x3_3x3,1401,3.9607770442962646,2.682,0.16576512,yes
9,nature,2d-conv,3x3_3x3,657,3.9607770442962646,2.682,0.16576512,yes
10,dios,2d-conv,3x5_3x3,155,23.352815628051758,22.001,0.62932992,yes
11,naive,2d-conv,3x5_3x3,5359,23.352815628051758,22.001,0.62932992,yes
12,naive.clang,2d-conv,3x5_3x3,1984,23.352815628051758,22.001,0.62932992,yes
13,naive.fixed,2d-conv,3x5_3x3,2135,23.352815628051758,22.001,0.62932992,yes
14,nature,2d-conv,3x5_3x3,659,23.352815628051758,22.001,0.62932992,yes
15,dios,2d-conv,4x4_3x3,178,19.316495180130005,17.99,0.374636544,yes
16,naive,2d-conv,4x4_3x3,5554,19.316495180130005,17.99,0.374636544,yes
17,naive.clang,2d-conv,4x4_3x3,2217,19.316495180130005,17.99,0.374636544,yes
18,naive.fixed,2d-conv,4x4_3x3,2362,19.316495180130005,17.99,0.374636544,yes
19,nature,2d-conv,4x4_3x3,828,19.316495180130005,17.99,0.374636544,yes
20,dios,2d-conv,8x8_3x3,453,201.3853199481964,199.704,4.468789248,no
21,naive,2d-conv,8x8_3x3,16438,201.3853199481964,199.704,4.468789248,no
22,naive.clang,2d-conv,8x8_3x3,7214,201.3853199481964,199.704,4.468789248,no
23,naive.fixed,2d-conv,8x8_3x3,7786,201.3853199481964,199.704,4.468789248,no
24,nature,2d-conv,8x8_3x3,1948,201.3853199481964,199.704,4.468789248,no
25,dios,2d-conv,10x10_2x2,284,16.84931778907776,15.425,0.406966272,yes
26,naive,2d-conv,10x10_2x2,11431,16.84931778907776,15.425,0.406966272,yes
27,naive.clang,2d-conv,10x10_2x2,4413,16.84931778907776,15.425,0.406966272,yes
28,naive.fixed,2d-conv,10x10_2x2,4832,16.84931778907776,15.425,0.406966272,yes
