,kernel,cycles,cost,correct,phase,iter
0,compgen,843,686035.7029999996,1,pre-0,0
1,compgen,843,686035.7029999996,1,pre-0,1
2,compgen,543,686035.7029999996,1,compile-1,0
3,compgen,514,566886.3089999997,1,compile-1,1
4,compgen,386,163879.65,0,pre-2,0
5,compgen,386,163879.65,0,pre-2,1
6,compgen,386,163879.65,0,compile-3,0
7,compgen,353,218.68800000000005,0,compile-3,1
8,compgen,336,218.68800000000005,0,pre-4,0
9,compgen,336,218.68800000000005,0,pre-4,1
10,compgen,336,218.68800000000005,0,compile-5,0
11,compgen,336,218.68800000000005,0,compile-5,1
12,compgen,336,218.68800000000005,0,litvec-6,0
13,compgen,336,207.20399999999995,0,litvec-6,1
