index,date,benchmark,params,exp,pruning,cycles,cost,soft_timeout,killed,compile_time,memory_used
0,Sep27-1449,2d-conv,3x3_2x2,Sep27-1957-XRSHK,False,54,40419.32000000001,360,False,0.00013208389282220014,0.0004692077636718
1,Sep27-1449,2d-conv,3x3_2x2,Sep27-1957-TMEFT,True,54,40419.32000000001,360,False,0.00020098686218259984,0.0093040466308593
2,Sep27-1449,2d-conv,3x3_3x3,Sep27-1957-OXUP6,False,101,114175.79499999998,360,False,0.0011813640594482,3.814697265625e-06
3,Sep27-1449,2d-conv,3x3_3x3,Sep27-1957-GPN9C,True,101,114175.79499999998,360,False,0.0055680274963378,0.0091133117675781
4,Sep27-1449,2d-conv,3x5_3x3,Sep27-2004-HMCUB,False,134,148537.333,360,False,400.32127857208246,87.94460678100586
5,Sep27-1449,2d-conv,3x5_3x3,Sep27-2000-SQ1GA,True,134,148537.333,360,False,140.11200332641602,17.339523315429688
6,Sep27-1449,2d-conv,4x4_3x3,Sep27-2004-DV8KZ,False,155,189956.88,360,False,240.18044567108151,13.631851196289062
7,Sep27-1449,2d-conv,4x4_3x3,Sep27-2000-0Q4CE,True,157,189956.88,360,False,0.000983715057373,3.814697265625e-06
8,Sep27-1449,2d-conv,8x8_3x3,Sep27-2008-FNPI6,False,,359864.83999999997,360,True,250.18272757530212,killed
9,Sep27-1449,2d-conv,8x8_3x3,Sep27-2008-2MIBZ,True,,359864.83999999997,360,True,205.14466762542727,killed
10,Sep27-1449,2d-conv,10x10_2x2,Sep27-2016-IKT5H,False,267,172855.047,360,False,430.3073229789734,86.06519317626953
11,Sep27-1449,2d-conv,10x10_2x2,Sep27-2009-S13JB,True,266,172855.047,360,False,50.04141116142273,3.9452438354492183
12,Sep27-1449,2d-conv,10x10_3x3,Sep27-2018-AG2W8,False,,703446.7519999999,360,True,300.20308923721313,killed
13,Sep27-1449,2d-conv,10x10_3x3,Sep27-2013-6PF68,True,,703446.7519999999,360,True,235.15932703018188,killed
14,Sep27-1449,2d-conv,10x10_4x4,Sep27-2025-W6UMG,False,1160,868175.4589999997,360,False,425.2517957687378,78.74822998046875
15,Sep27-1449,2d-conv,10x10_4x4,Sep27-2031-HFJ4V,True,1111,868175.4589999997,360,False,895.5392615795135,54.9331169128418
16,Sep27-1449,2d-conv,16x16_2x2,Sep27-2046-BO5LB,False,633,286164.46699999983,360,False,1075.5730879306793,47.85033798217773
17,Sep27-1449,2d-conv,16x16_2x2,Sep27-2028-GTKBB,True,617,286164.46699999983,360,False,160.09002947807312,12.688007354736328
18,Sep27-1449,2d-conv,16x16_3x3,Sep27-2048-N1A3H,False,1355,699658.7759999997,360,False,520.2672553062439,31.53753662109375
19,Sep27-1449,2d-conv,16x16_3x3,Sep27-2039-IEBU7,True,1404,699658.7759999997,360,False,490.2556958198547,41.75805282592773
20,Sep27-1449,2d-conv,16x16_4x4,Sep27-2130-ZBX6C,False,,1362582.5469999989,360,False,2521.1505703926086,9.410747528076172
21,Sep27-1449,2d-conv,16x16_4x4,Sep27-2050-LDC2B,True,,1362582.5469999989,360,True,225.1120204925537,killed
22,Sep27-1449,2d-conv,18x18_2x2,Sep27-2101-YH77E,False,838,310481.6270000001,360,False,400.1896665096283,63.51269912719727
23,Sep27-1449,2d-conv,18x18_2x2,Sep27-2054-ZI1UT,True,814,310481.6270000001,360,False,220.09740090370178,16.94945526123047
24,Sep27-1449,2d-conv,18x18_3x3,Sep27-2121-T5RMP,False,1878,1253402.5040000007,360,False,600.240669965744,34.86943054199219
25,Sep27-1449,2d-conv,18x18_3x3,Sep27-2111-1EKYW,True,2047,1253402.5040000007,360,False,585.2482845783234,51.63783645629883
26,Sep27-1449,2d-conv,18x18_4x4,Sep27-2139-BR16O,False,2941,1523707.3749999981,360,False,800.3047051429749,42.612979888916016
27,Sep27-1449,2d-conv,18x18_4x4,Sep27-2125-LZIWV,True,,1524728.3749999986,360,True,260.12946748733515,killed
