index,date,benchmark,params,exp,ruleset,cost,cycles,timed_out,dir
0,Apr18-1238,2d-conv,3x3_2x2,81,60,56582.11600000001,61,False,completed/2d-conv_3x3_2x2/81
1,Apr18-1238,2d-conv,3x3_2x2,82,600,56582.11600000001,61,False,completed/2d-conv_3x3_2x2/82
2,Apr18-1238,2d-conv,3x3_2x2,83,6000,56582.11600000001,61,False,completed/2d-conv_3x3_2x2/83
3,Apr18-1238,2d-conv,3x3_2x2,84,60000,14.952,51,False,completed/2d-conv_3x3_2x2/84
4,Apr18-1238,2d-conv,3x3_3x3,115,60,138419.989,113,False,completed/2d-conv_3x3_3x3/115
5,Apr18-1238,2d-conv,3x3_3x3,116,600,138419.989,113,False,completed/2d-conv_3x3_3x3/116
6,Apr18-1238,2d-conv,3x3_3x3,117,6000,138419.989,113,False,completed/2d-conv_3x3_3x3/117
7,Apr18-1238,2d-conv,3x3_3x3,118,60000,48.94399999999999,136,False,completed/2d-conv_3x3_3x3/118
8,Apr18-1238,2d-conv,3x5_3x3,74,60,237432.711,201,False,completed/2d-conv_3x5_3x3/74
9,Apr18-1238,2d-conv,3x5_3x3,75,600,237432.711,201,False,completed/2d-conv_3x5_3x3/75
10,Apr18-1238,2d-conv,3x5_3x3,76,6000,237432.711,201,False,completed/2d-conv_3x5_3x3/76
11,Apr18-1238,2d-conv,3x5_3x3,77,60000,73.69800000000001,224,False,completed/2d-conv_3x5_3x3/77
12,Apr18-1238,2d-conv,4x4_3x3,107,60,254608.064,184,False,completed/2d-conv_4x4_3x3/107
13,Apr18-1238,2d-conv,4x4_3x3,108,600,254608.064,184,False,completed/2d-conv_4x4_3x3/108
14,Apr18-1238,2d-conv,4x4_3x3,109,6000,254608.064,184,False,completed/2d-conv_4x4_3x3/109
15,Apr18-1238,2d-conv,4x4_3x3,110,60000,77.36899999999999,236,False,completed/2d-conv_4x4_3x3/110
16,Apr18-1238,2d-conv,8x8_3x3,113,60,1062871.456,1219,False,completed/2d-conv_8x8_3x3/113
17,Apr18-1238,2d-conv,8x8_3x3,114,600,1062871.456,1219,False,completed/2d-conv_8x8_3x3/114
18,Apr18-1238,2d-conv,8x8_3x3,115,6000,1062871.456,1219,False,completed/2d-conv_8x8_3x3/115
19,Apr18-1238,2d-conv,8x8_3x3,116,60000,462.7549999999999,1175,False,completed/2d-conv_8x8_3x3/116
20,Apr18-1238,2d-conv,10x10_2x2,41,60,686035.7029999996,843,False,completed/2d-conv_10x10_2x2/41
21,Apr18-1238,2d-conv,10x10_2x2,42,600,686035.7029999996,843,False,completed/2d-conv_10x10_2x2/42
22,Apr18-1238,2d-conv,10x10_2x2,43,6000,686035.7029999996,843,False,completed/2d-conv_10x10_2x2/43
23,Apr18-1238,2d-conv,10x10_2x2,44,60000,171.69099999999997,398,False,completed/2d-conv_10x10_2x2/44
24,Apr18-1238,2d-conv,10x10_3x3,95,60,1673108.8999999997,2189,False,completed/2d-conv_10x10_3x3/95
25,Apr18-1238,2d-conv,10x10_3x3,96,600,1673108.8999999997,2189,False,completed/2d-conv_10x10_3x3/96
26,Apr18-1238,2d-conv,10x10_3x3,97,6000,1673108.8999999997,2189,False,completed/2d-conv_10x10_3x3/97
27,Apr18-1238,2d-conv,10x10_3x3,98,60000,734.0269999999997,1724,False,completed/2d-conv_10x10_3x3/98
28,Apr18-1238,2d-conv,10x10_4x4,38,60,3062284.1030000006,5270,False,completed/2d-conv_10x10_4x4/38
29,Apr18-1238,2d-conv,10x10_4x4,39,600,3062284.1030000006,4745,False,completed/2d-conv_10x10_4x4/39
30,Apr18-1238,2d-conv,10x10_4x4,40,6000,3062284.1030000006,4745,False,completed/2d-conv_10x10_4x4/40
31,Apr18-1238,2d-conv,10x10_4x4,41,60000,2894666.9089999986,3190,True,completed/2d-conv_10x10_4x4/41
32,Apr18-1238,2d-conv,16x16_2x2,27,60,1777218.0470000014,1569,False,completed/2d-conv_16x16_2x2/27
33,Apr18-1238,2d-conv,16x16_2x2,28,600,1777218.0470000014,1569,False,completed/2d-conv_16x16_2x2/28
34,Apr18-1238,2d-conv,16x16_2x2,29,6000,1777218.0470000014,1569,False,completed/2d-conv_16x16_2x2/29
35,Apr18-1238,2d-conv,16x16_2x2,30,60000,751.5559999999998,,True,completed/2d-conv_16x16_2x2/30
36,Apr18-1238,2d-conv,16x16_3x3,87,60,4328244.224000003,10097,False,completed/2d-conv_16x16_3x3/87
37,Apr18-1238,2d-conv,16x16_3x3,88,600,4328244.224000003,10097,False,completed/2d-conv_16x16_3x3/88
38,Apr18-1238,2d-conv,16x16_3x3,89,6000,4328244.224000003,10097,False,completed/2d-conv_16x16_3x3/89
39,Apr18-1238,2d-conv,16x16_3x3,90,60000,4328244.224000003,,False,completed/2d-conv_16x16_3x3/90
40,Apr18-1238,2d-conv,16x16_4x4,22,60,7911801.478999994,15291,False,completed/2d-conv_16x16_4x4/22
41,Apr18-1238,2d-conv,16x16_4x4,23,600,7911801.478999994,15291,False,completed/2d-conv_16x16_4x4/23
42,Apr18-1238,2d-conv,16x16_4x4,24,6000,7911801.478999994,15291,False,completed/2d-conv_16x16_4x4/24
