kernel,benchmark,params,cycles,compile_time,max_ram_used,saturated
naive,2d-conv,3x3_2x2,547,1.6299433708190918,0.16310272,yes
naive-hard,2d-conv,3x3_2x2,349,1.6299433708190918,0.16310272,yes
nature,2d-conv,3x3_2x2,358,1.6299433708190918,0.16310272,yes
dios,2d-conv,3x3_2x2,58,1.6299433708190918,0.16310272,yes
naive,2d-conv,3x3_3x3,2073,3.989680051803589,0.169672704,yes
naive-hard,2d-conv,3x3_3x3,1304,3.989680051803589,0.169672704,yes
nature,2d-conv,3x3_3x3,657,3.989680051803589,0.169672704,yes
dios,2d-conv,3x3_3x3,135,3.989680051803589,0.169672704,yes
naive,2d-conv,3x5_3x3,3005,23.958762884140015,0.629264384,yes
naive-hard,2d-conv,3x5_3x3,1998,23.958762884140015,0.629264384,yes
nature,2d-conv,3x5_3x3,659,23.958762884140015,0.629264384,yes
dios,2d-conv,3x5_3x3,155,23.958762884140015,0.629264384,yes
naive,2d-conv,4x4_3x3,3168,18.474572896957397,0.374362112,yes
naive-hard,2d-conv,4x4_3x3,2205,18.474572896957397,0.374362112,yes
nature,2d-conv,4x4_3x3,828,18.474572896957397,0.374362112,yes
dios,2d-conv,4x4_3x3,179,18.474572896957397,0.374362112,yes
naive,2d-conv,8x8_3x3,9888,196.17157530784607,4.468682752,no
naive-hard,2d-conv,8x8_3x3,7205,196.17157530784607,4.468682752,no
nature,2d-conv,8x8_3x3,1949,196.17157530784607,4.468682752,no
dios,2d-conv,8x8_3x3,450,196.17157530784607,4.468682752,no
naive,2d-conv,10x10_2x2,4732,17.101303577423096,0.406777856,yes
naive-hard,2d-conv,10x10_2x2,4413,17.101303577423096,0.406777856,yes
nature,2d-conv,10x10_2x2,1644,17.101303577423096,0.406777856,yes
dios,2d-conv,10x10_2x2,284,17.101303577423096,0.406777856,yes
naive,2d-conv,10x10_3x3,14748,218.34546041488647,5.998600192,no
naive-hard,2d-conv,10x10_3x3,11590,218.34546041488647,5.998600192,no
nature,2d-conv,10x10_3x3,2404,218.34546041488647,5.998600192,no
dios,2d-conv,10x10_3x3,713,218.34546041488647,5.998600192,no
naive,2d-conv,10x10_4x4,27346,162.44684195518494,5.09184,no
naive-hard,2d-conv,10x10_4x4,26917,162.44684195518494,5.09184,no
nature,2d-conv,10x10_4x4,1860,162.44684195518494,5.09184,no
dios,2d-conv,10x10_4x4,1516,162.44684195518494,5.09184,no
naive,2d-conv,16x16_2x2,11551,54.64332389831543,1.239031808,yes
naive-hard,2d-conv,16x16_2x2,13050,54.64332389831543,1.239031808,yes
nature,2d-conv,16x16_2x2,3725,54.64332389831543,1.239031808,yes
dios,2d-conv,16x16_2x2,741,54.64332389831543,1.239031808,yes
naive,2d-conv,16x16_3x3,35491,161.75475311279297,4.685709312,no
naive-hard,2d-conv,16x16_3x3,29954,161.75475311279297,4.685709312,no
nature,2d-conv,16x16_3x3,5508,161.75475311279297,4.685709312,no
dios,2d-conv,16x16_3x3,1938,161.75475311279297,4.685709312,no
naive,2d-conv,16x16_4x4,62787,148.03172755241394,4.809674752,no
naive-hard,2d-conv,16x16_4x4,68852,148.03172755241394,4.809674752,no
nature,2d-conv,16x16_4x4,3619,148.03172755241394,4.809674752,no
dios,2d-conv,16x16_4x4,8402,148.03172755241394,4.809674752,no
naive,mat-mul,2x2_2x2,16,1.290928602218628,0.169947136,yes
naive-hard,mat-mul,2x2_2x2,25,1.290928602218628,0.169947136,yes
nature,mat-mul,2x2_2x2,248,1.290928602218628,0.169947136,yes
dios,mat-mul,2x2_2x2,33,1.290928602218628,0.169947136,yes
eigen,mat-mul,2x2_2x2,21,1.290928602218628,0.169947136,yes
naive,mat-mul,2x3_3x3,27,1.4677259922027588,0.16965632,yes
naive-hard,mat-mul,2x3_3x3,41,1.4677259922027588,0.16965632,yes
nature,mat-mul,2x3_3x3,261,1.4677259922027588,0.16965632,yes
dios,mat-mul,2x3_3x3,40,1.4677259922027588,0.16965632,yes
eigen,mat-mul,2x3_3x3,33,1.4677259922027588,0.16965632,yes
naive,mat-mul,3x3_3x3,49,1.6141974925994873,0.158437376,yes
naive-hard,mat-mul,3x3_3x3,51,1.6141974925994873,0.158437376,yes
nature,mat-mul,3x3_3x3,316,1.6141974925994873,0.158437376,yes
dios,mat-mul,3x3_3x3,43,1.6141974925994873,0.158437376,yes
eigen,mat-mul,3x3_3x3,177,1.6141974925994873,0.158437376,yes
naive,mat-mul,4x4_4x4,30,4.319210529327393,0.157356032,yes
naive-hard,mat-mul,4x4_4x4,38,4.319210529327393,0.157356032,yes
nature,mat-mul,4x4_4x4,303,4.319210529327393,0.157356032,yes
dios,mat-mul,4x4_4x4,48,4.319210529327393,0.157356032,yes
eigen,mat-mul,4x4_4x4,399,4.319210529327393,0.157356032,yes
naive,mat-mul,8x8_8x8,211,249.32164931297302,5.173231616,no
naive-hard,mat-mul,8x8_8x8,212,249.32164931297302,5.173231616,no
nature,mat-mul,8x8_8x8,594,249.32164931297302,5.173231616,no
dios,mat-mul,8x8_8x8,179,249.32164931297302,5.173231616,no
eigen,mat-mul,8x8_8x8,2936,249.32164931297302,5.173231616,no
naive,mat-mul,10x10_10x10,756,233.87947463989258,5.947908096,no
naive-hard,mat-mul,10x10_10x10,760,233.87947463989258,5.947908096,no
nature,mat-mul,10x10_10x10,1134,233.87947463989258,5.947908096,no
dios,mat-mul,10x10_10x10,724,233.87947463989258,5.947908096,no
eigen,mat-mul,10x10_10x10,5880,233.87947463989258,5.947908096,no
naive,mat-mul,16x16_16x16,1463,136.6341154575348,4.481855488,no
naive-hard,mat-mul,16x16_16x16,1472,136.6341154575348,4.481855488,no
nature,mat-mul,16x16_16x16,1926,136.6341154575348,4.481855488,no
dios,mat-mul,16x16_16x16,14115,136.6341154575348,4.481855488,no
eigen,mat-mul,16x16_16x16,11200,136.6341154575348,4.481855488,no
naive-hard,q-prod,0,178,4.447765827178955,0.167190528,yes
eigen,q-prod,0,58,4.447765827178955,0.167190528,yes
dios,q-prod,0,63,4.447765827178955,0.167190528,yes
naive,qr-decomp,3,7010,525.7637639045715,5.600395264,no
naive-hard,qr-decomp,3,5838,525.7637639045715,5.600395264,no
eigen,qr-decomp,3,3278,525.7637639045715,5.600395264,no
dios,qr-decomp,3,616,525.7637639045715,5.600395264,no
