rule,name,value
ruler_0_r,average,2.001
ruler_1_r,average,1.0014999999999998
ruler_2_r,average,1.0014999999999998
ruler_3_r,average,1.0014999999999998
ruler_4_r,average,1.0014999999999998
ruler_5_r,average,2.0015
ruler_6_r,average,1.0014999999999998
ruler_7_r,average,4.003
ruler_8_r,average,4.003
ruler_9_r,average,4.003
ruler_10_r,average,4.002
ruler_11_r,average,6.004
ruler_12_r,average,3.0025
ruler_13_r,average,3.0025
ruler_14_r,average,6.004
ruler_15_r,average,5.003500000000001
ruler_16_r,average,5.003500000000001
ruler_17_r,average,4.003
ruler_18_r,average,4.003
ruler_19_r,average,3.0025
ruler_20_r,average,3.0025
ruler_21_r,average,6.004
ruler_22_r,average,6.0040000000000004
ruler_23_r,average,6.004
ruler_24_r,average,6.004
ruler_25_r,average,6.004
ruler_26_r,average,6.004
ruler_27_r,average,6.004
ruler_28_r,average,6.004
ruler_29_r,average,6.004
ruler_30_r,average,6.004
ruler_31_r,average,6.004
ruler_32_r,average,6.004
ruler_33_r,average,6.004
ruler_34_r,average,6.004
ruler_35_r,average,6.004
ruler_36_r,average,6.004
ruler_37_r,average,4.003
ruler_38_r,average,4.003
ruler_39_r,average,5.003
ruler_40_r,average,5.003
ruler_41_r,average,5.003
ruler_42_r,average,5.003
ruler_43_r,average,5.003
ruler_44_r,average,5.003
ruler_45_r,average,5.003
ruler_46_r,average,5.003
ruler_47_r,average,5.003
ruler_48_r,average,5.003
ruler_49_r,average,5.003
ruler_50_r,average,5.003
ruler_51_r,average,5.003
ruler_52_r,average,6.003
ruler_53_r,average,5.003
ruler_54_r,average,3.0025
ruler_55_r,average,3.0025
ruler_56_r,average,4.0025
ruler_57_r,average,4.003
ruler_58_r,average,5.0035
ruler_59_r,average,5.0035
ruler_60_r,average,3.0025000000000004
ruler_61_r,average,3.0025
ruler_62_r,average,3.0025
ruler_63_lr,average,54.55400000000001
ruler_63_lr-rev,average,54.55400000000001
ruler_64_lr,average,54.55400000000001
ruler_64_lr-rev,average,54.55400000000001
ruler_65_lr,average,54.55400000000001
ruler_65_lr-rev,average,54.55400000000001
ruler_66_lr,average,54.60799999999999
ruler_66_lr-rev,average,54.60799999999999
ruler_67_lr,average,54.60799999999999
ruler_67_lr-rev,average,54.60799999999999
ruler_68_lr,average,54.60799999999999
ruler_68_lr-rev,average,54.60799999999999
ruler_69_lr,average,54.60799999999999
ruler_69_lr-rev,average,54.60799999999999
ruler_70_r,average,1.0014999999999998
ruler_71_r,average,1.0014999999999998
ruler_72_r,average,1.0014999999999998
ruler_73_r,average,1.0014999999999998
litvec,average,0.06250000000000001
ruler_0_r,differential,3.9999999999999996
ruler_1_r,differential,2.001
ruler_2_r,differential,2.001
ruler_3_r,differential,-2.001
ruler_4_r,differential,-2.001
ruler_5_r,differential,0.0009999999999998899
ruler_6_r,differential,2.001
ruler_7_r,differential,0
ruler_8_r,differential,0
ruler_9_r,differential,0
ruler_10_r,differential,0
ruler_11_r,differential,0
ruler_12_r,differential,2.0010000000000003
ruler_13_r,differential,2.0010000000000003
ruler_14_r,differential,0
ruler_15_r,differential,2.0010000000000003
ruler_16_r,differential,-2.0010000000000003
ruler_17_r,differential,4.002
ruler_18_r,differential,4.002
ruler_19_r,differential,6.002999999999999
ruler_20_r,differential,6.002999999999999
ruler_21_r,differential,-0.0000000000000008881784197001252
ruler_22_r,differential,0
ruler_23_r,differential,0
ruler_24_r,differential,-0.0000000000000008881784197001252
ruler_25_r,differential,0
ruler_26_r,differential,0
ruler_27_r,differential,0
ruler_28_r,differential,0
ruler_29_r,differential,0.0000000000000008881784197001252
ruler_30_r,differential,0.0000000000000008881784197001252
ruler_31_r,differential,-0.0000000000000008881784197001252
ruler_32_r,differential,0.0000000000000008881784197001252
ruler_33_r,differential,0
ruler_34_r,differential,0
ruler_35_r,differential,-0.0000000000000008881784197001252
ruler_36_r,differential,0
ruler_37_r,differential,0
ruler_38_r,differential,0
ruler_39_r,differential,2
ruler_40_r,differential,-2
ruler_41_r,differential,-2
ruler_42_r,differential,-2
ruler_43_r,differential,-2
ruler_44_r,differential,2
ruler_45_r,differential,-2
ruler_46_r,differential,-2
ruler_47_r,differential,-2
ruler_48_r,differential,-2
ruler_49_r,differential,2
ruler_50_r,differential,-1.9999999999999991
ruler_51_r,differential,-2
ruler_52_r,differential,0
ruler_53_r,differential,-1.9999999999999991
ruler_54_r,differential,6.002999999999999
ruler_55_r,differential,6.002999999999999
ruler_56_r,differential,4.003
ruler_57_r,differential,4.002
ruler_58_r,differential,-2.0009999999999994
ruler_59_r,differential,-2.0009999999999994
ruler_60_r,differential,6.003
ruler_61_r,differential,6.002999999999999
ruler_62_r,differential,6.002999999999999
ruler_63_lr,differential,106.90000000000002
ruler_63_lr-rev,differential,-106.90000000000002
ruler_64_lr,differential,106.90000000000002
ruler_64_lr-rev,differential,-106.90000000000002
ruler_65_lr,differential,106.90000000000002
ruler_65_lr-rev,differential,-106.90000000000002
ruler_66_lr,differential,106.79999999999998
ruler_66_lr-rev,differential,-106.79999999999998
ruler_67_lr,differential,106.79999999999998
ruler_67_lr-rev,differential,-106.79999999999998
ruler_68_lr,differential,106.79999999999998
ruler_68_lr-rev,differential,-106.79999999999998
ruler_69_lr,differential,106.79999999999998
ruler_69_lr-rev,differential,-106.79999999999998
ruler_70_r,differential,-2.001
ruler_71_r,differential,-2.001
ruler_72_r,differential,-2.001
ruler_73_r,differential,-2.001
litvec,differential,0.09900000000000002
